	pielou_e
5001	0.7781098903071227
5002	0.8252511878966573
5004	0.8208623293421375
5005	0.7807459176808585
5006	0.8004478386820446
5007	0.7466001836379117
5008	0.8362174184304547
5009	0.7696330652400156
5010	0.7126973812788069
5011	0.7781413013334166
5012	0.8235944749758799
5014	0.8323133171225553
5015	0.7426694485736097
5016	0.8205472605663183
5019	0.8338037806813701
5020	0.818142125105224
5021	0.8328625749984696
5023	0.7972550931477866
5026	0.8029657790284412
5027	0.7015183184459739
5032	0.7847176513036582
5037	0.7681820281937498
5040	0.7912709691415069
5042	0.7828489389565004
5043	0.8127922038154101
5045	0.8696060261717862
5046	0.8012697817895659
5047	0.7993150321765315
5048	0.8323594063936786
5049	0.8134724028700487
5050	0.8150087465269209
5051	0.8334260204989085
5052	0.8054644909694311
5053	0.776810529043411
5057	0.8152491805190094
5058	0.8558919422339173
5059	0.8019831184689847
5060	0.7670812389273528
5062	0.5977679425492605
6001	0.8289724004868809
6002	0.7335391306820342
6003	0.7943836217079592
6004	0.7970902132204164
6005	0.8157924113328144
6007	0.7569583011304551
6008	0.6334924047470205
6009	0.8622854593420743
6010	0.8477490925695287
6011	0.7835967797155732
6013	0.7714551653110662
6014	0.7098487804906444
6015	0.813358759728625
6016	0.8680439887043044
6017	0.701440557271395
6018	0.768964005580032
6019	0.8219789395477746
6021	0.818179586645429
6022	0.8283853603151279
6023	0.7092356790313563
6024	0.7779610083474637
6025	0.8232869453575572
6026	0.8045209782562447
6028	0.7981301108345296
6030	0.7944246072775555
6031	0.8478643120875071
6032	0.7247389213664848
6034	0.8478562829000506
6035	0.8321428259807981
6036	0.8262739622929606
6039	0.752240347110157
6040	0.8234147913253286
6042	0.7868999793211499
6045	0.8302853261396883
6046	0.8267398727349252
6048	0.859847455497185
6049	0.7829179068165789
6050	0.7933176644868908
6051	0.684885619028484
6052	0.7841898550908849
6053	0.841979543689131
6054	0.809783797553604
6055	0.8206923348306543
6057	0.7960574375023055
6058	0.8512627244180299
6059	0.8719464815821024
6061	0.815975459900222
6062	0.8566951774230049
6063	0.878803293871767
6064	0.8623771032424712
6065	0.8224762919436687
6067	0.8122494136840431
6069	0.8680581617840138
6070	0.8268121214367197
6071	0.8206703441226684
6075	0.8191473764560068
6080	0.8272163675536056
6081	0.8018664167984447
6083	0.7899168231241056
6084	0.8617801036127497
6087	0.850577812826484
6088	0.778863872096773
6092	0.8013189360731097
6094	0.7020835360019788
6095	0.818296255203362
6102	0.7551156829848613
6103	0.7936872832309242
7002	0.8123131591301042
7003	0.7918306434209679
7005	0.857204800834651
7009	0.7637848776942556
7010	0.8629901111850026
7011	0.8101744070201177
7012	0.8009719833852142
7013	0.7096202454434147
7015	0.8529564338579658
7016	0.7436503958900264
7017	0.7886156809828829
7020	0.8412408530297159
7021	0.8207196628672572
7023	0.8756024914859499
7025	0.8148947761559975
7027	0.8328229833897222
7028	0.6407036874754525
7029	0.8213967180694561
7030	0.8305538125921564
7032	0.7372498594785678
7033	0.8213240312343629
7035	0.8293398755696005
7039	0.8300424265535653
7044	0.7819068061267366
6041-d	0.8024052442524934
6056-z	0.7638802846763952
6078	0.7795407561607591
6085	0.79400411264984
6093	0.4894554229374787
6097	0.812191162210777
6099	0.7968967725770534
6100	0.8030192709352157
6101	0.7900608701423922
7022	0.8315712571259042
7024	0.828994814079818
7031	0.770269568609065
7034	0.7648182749192173
7036	0.825856965434197
7037	0.8541650911022833
7038	0.805847061721941
7043	0.7873815370803845
7045	0.8241779438530724
7046	0.743008913035364
7047	0.7795027541216238
7048	0.7516742302563298
7049	0.8059888341067458
7050	0.8463754746384254
7054	0.8386369870104594
7055-5	0.7383657827283595
7056	0.810532989515552
7057	0.8328824074802019
7060	0.6962195027407958
7061	0.8484368585908373
7062	0.8515709137819606
7064	0.7778885738565512
7066	0.8483472663046053
7070	0.7588585049724932
7073	0.8148924588814236
7076	0.8302159967195272
7078	0.6763210254478881
7081	0.8347617018602869
7083	0.7765452808094584
7084	0.8319722380470436
7085	0.8098814502154722
7090	0.8403375859353415
7091	0.8490322871211099
7092	0.7508904026659953
7093	0.7263778238246194
7096	0.8119765010625644
7097	0.8050365410969123
7098	0.777747444754862
7099	0.828968098940713
7101	0.861574601746608
7102	0.8572014272796443
7104	0.6975334131663476
7105-5	0.8108182002478987
7106-5	0.8093865335999606
7107	0.8253468870198998
7108	0.8146663553717145
7109	0.8689859813370248
7110	0.847932708938007
7112	0.8321565609819332
7113	0.7738621134337103
7114	0.8132192967127821
7115	0.7711313066818676
7118	0.7362721659320254
7119	0.8285578770784349
7121	0.767207291340265
7122	0.7539560885708557
7124	0.8175705831583093
7125	0.7935563490046649
8001	0.7421099201507625
8002	0.7931553214863312
8003	0.7966241101388333
8004	0.8410548520898424
8005	0.8392024743770302
8006	0.5806866922447196
8007	0.6826800467896148
8008	0.7714934557183023
8009	0.7711698618959892
8010	0.7790004140437153
8011	0.8389670682959632
8013	0.6320745493170998
8014-5	0.7545291317945672
8015	0.8393647647315643
8017	0.8066633493422397
8021	0.8012603545645667
8024	0.5439132882369354
8025	0.8278922262048118
8026	0.6318309877851924
8027	0.8170199065531986
8032	0.8507137569094445
8033	0.8094368491292901
8034	0.8812684300984466
8035	0.8083744091497894
8036	0.8423022723915874
8037	0.8387403976533956
8038	0.8073366404329455
8040	0.7586647097764174
8041	0.8547066978137391
8042	0.8652241080988806
8044-5	0.8368328972695948
8045	0.6303777780020094
8046	0.785832230903811
8047	0.8319044544287804
8048-F10	0.8466920820639428
8050	0.8294258416967771
8052	0.5420028100635143
8055-5	0.7469807949847093
8056-2	0.8517591254199165
8058	0.8819041039577954
8061	0.7651591770187426
8081	0.810944060948035
5018-z-b3	0.7548727851825053
6038r	0.5250538105782858
6077r	0.7981556563662384
6086r	0.5421169234086998
6089r	0.711267542035067
7006r	0.8451212800596222
7051r	0.8357868685772776
7058r	0.8321064916900757
7059r	0.8261089469619566
7067x	0.8235581458081782
7068-50x	0.8134855914538154
7075r	0.8044061225682069
7077x	0.7319327406591422
7079x	0.8239428009829767
7080-50x	0.8035363995655026
7086x	0.7589561742909985
7087x	0.8213090320307053
7088-50x	0.8670105810213068
7116r	0.8140399087349731
7117-50x	0.6203651812871162
7120r	0.8488791881473948
8016r	0.8169992342444171
8018r	0.8498231883988788
8019r	0.7627449149188049
8023r	0.6289148451347057
8028r	0.8212425947209684
8031r	0.8383167706167871
8051-50r	0.8064129624005749
8053r	0.7205434373055507
8062	0.7687440922422556
8066	0.8203693989020276
8068	0.8516965173638594
8075	0.7582368403537327
8077	0.7214764614371018
8078	0.7626639015351551
8080	0.835087851169414
8083	0.8485044384125318
8084	0.8381501059459687
8085	0.8330738209167797
8088	0.6592772602851193
8089	0.8007273416065017
8090	0.7983025851317569
8091	0.8414577564661864
8092	0.7664967801379386
8093	0.7955206303329311
8094	0.8328730877474445
8095	0.8410904279955922
8096	0.6045032287300923
8097	0.8386097468491184
8098	0.7970649988194417
8100	0.621374323278192
8101	0.8098743950195617
8102	0.7491405220406767
8103	0.8247826544232069
8104	0.8405462308578161
8105	0.8111733223908666
8107	0.8069226367634609
8108	0.7788052883598667
8109	0.8111469725202658
8113	0.8036703402103362
9001-50	0.8091207307077186
9002	0.8018572424106505
9004-50	0.815000512889133
9005	0.7926456154687791
9007	0.8604274776298827
9008-50	0.8005510553253076
9009-50	0.7224111148208892
9010	0.8229975928654935
9011-50	0.8334988871114203
9012	0.8492510768609159
9014	0.8286144229228916
9015-50	0.8072184616157305
9016-C2	0.8241680152396662
9017	0.8040859202907655
9018	0.5229178826169828
9019	0.7949533987125931
9020	0.7021631081398527
9021	0.8034215978350533
9023	0.7324864582038848
9024	0.8152246074619383
9026	0.6367406152463309
9027	0.8135061547485043
9028	0.805148962588057
9029	0.8290002850695862
9030	0.7552076041936215
9031	0.8172655442430959
9033	0.7649377826004163
9034	0.839001780584532
9035	0.8085713562801919
9037	0.832092832547849
9038	0.8305093318774597
9039	0.7518678999538706
9040	0.7711402588334326
9041	0.8367419429891071
9042	0.8116987328417071
9043	0.7654914417592582
9045	0.8352494392514307
9046	0.7426617376844765
9047	0.8065475536862687
9048	0.7140650514206597
9049	0.7175426030304404
9050	0.8668346137412946
9051	0.8359095572107715
9052	0.8124761324703016
9054	0.8095459526399703
9055	0.7993753803463053
9056	0.8184923323248345
9057	0.8287146609901603
9059	0.8200614287282046
9062	0.8571015071963196
9065	0.8472579818147759
9066	0.839686286705482
9067-50	0.8359174905097927
9069-20	0.8024248145915394
